rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_category,next_rental
540298,202057,mobile,ended,-6.0,,,Early,False
540330,362860,mobile,ended,-18.0,,,Early,False
540369,341086,mobile,ended,-62.0,,,Early,False
540434,402505,mobile,ended,210.0,,,Late: > 2 hours,False
540479,374684,mobile,ended,12.0,539751.0,0.0,Late: 0-15 mins,True
540553,303506,mobile,ended,-24.0,,,Early,False
540633,396732,mobile,ended,-5.0,,,Early,False
540649,352528,connect,ended,90.0,,,Late: 1-2 hours,False
540735,314897,mobile,ended,-14.0,,,Early,False
540966,405906,mobile,ended,11.0,,,Late: 0-15 mins,False
541014,321607,mobile,ended,-7.0,,,Early,False
541060,280562,mobile,ended,146.0,,,Late: > 2 hours,False
541174,284552,mobile,ended,-25.0,,,Early,False
541372,387559,mobile,ended,13.0,,,Late: 0-15 mins,False
541444,397413,mobile,ended,901.0,,,Late: > 2 hours,False
541784,408830,mobile,ended,52.0,,,Late: 30-60 mins,False
541862,382364,mobile,ended,125.0,540607.0,0.0,Late: > 2 hours,True
541948,321674,mobile,ended,165.0,,,Late: > 2 hours,False
541991,329496,mobile,ended,-25.0,,,Early,False
542149,371368,mobile,ended,83.0,,,Late: 1-2 hours,False
542203,388268,mobile,ended,69.0,,,Late: 1-2 hours,False
542222,207728,mobile,ended,156.0,,,Late: > 2 hours,False
542339,322005,mobile,ended,12.0,,,Late: 0-15 mins,False
542374,409676,mobile,ended,50.0,540444.0,180.0,Late: 30-60 mins,True
542400,315909,mobile,ended,-7.0,,,Early,False
542520,401751,mobile,ended,183.0,,,Late: > 2 hours,False
542661,391512,mobile,ended,-170.0,,,Early,False
542894,218964,mobile,ended,-36.0,,,Early,False
542942,358082,connect,ended,-106.0,,,Early,False
543012,393044,mobile,ended,9.0,,,Late: 0-15 mins,False
543050,379428,mobile,ended,-21.0,,,Early,False
543088,200316,mobile,ended,64.0,,,Late: 1-2 hours,False
543150,410052,mobile,ended,23.0,,,Late: 15-30 mins,False
